"","Fire_ID","history","rbr","rbr_w_offset","Fire_Year","host_species","total_pixels","host_pct","Average.Recovery","Max_Overlap_Area","Max_Overlap_Percent","fire_area","isi_90","dc_90","dmc_90","ffmc_90","bui_90","fwi_90","recovery","mean_temperature","sum_precipitation_mm","sum_precipitation_m","x","y","median_tri","mean_tri","X","Cumulative_Years_Defol","Time_Since_Defol","window_opp","distance","weights","subclass"
"150","NIP77_2001_49",1,414.17,107.47,2001,13,13,100,55.09,892520.278842677,100,0.039,3.6,309.7,23.7,75.5,39.6,3.2,55.09,19.94,5155.9,5.16,-87.1757065721972,50.0632952662415,0.935414346693485,1.10172931924039,1329,5,8,"3",0.496786838331908,1,"91"
"151","NIP79_1996_1296",1,631.41,190.02,1996,1349,1377,98,65.28,6450926.09122871,100,4.131,8.6,199.2,59,89.2,65.2,18.1,65.28,20.14,4460.54,4.46,-87.1864261509056,50.6899811699617,0.707106781186548,0.911120771877027,500,3,3,"2",0.375078917650078,1,"92"
"152","NIP80_1996_310",1,573.72,390.11,1996,823,1195,68.9,95.23,3083036.67591034,100,3.585,5.9,217.1,71.3,89.8,76.3,17.3,95.23,20.41,4615.5,4.62,-89.0795018241017,49.1620895573515,0.612372435695794,0.80493587345098,1350,14,1,"1",0.520689536446725,1,"93"
"153","NIP80_2005_1523",1,646.96,220.68,2005,36529,49858,73.3,76.8,80200861.7755622,100,149.574,6.7,336.5,44.6,88.4,64.5,18.4,76.8,16.02,4739.34,4.74,-88.6243690907847,49.6080922595905,0.5,1.40927260903086,1435,3,11,"4",0.48595923835952,1,"94"
"154","NIP81_2006_1684",1,477.37,179,2006,172,226,76.1,115.75,890014.960694011,100,0.678,7.2,250.3,35.4,90.8,52,19.1,115.75,19.69,5089.03,5.09,-87.3734949806544,50.7480214165379,1.3228756555323,1.44968692249188,594,3,13,"4",0.326546386437195,1,"95"
"158","NIP97_1999_737",1,341.47,144.87,1999,3352,3357,99.9,103.32,17515211.1275594,100,10.071,8.9,454.9,38.1,89.3,62.8,23.2,103.32,20.41,5364.98,5.36,-85.6229880293968,49.8519989815561,0.5,0.400667250242103,883,7,4,"2",0.0672860542829311,1,"96"
"162","PEM25_2012_1933",1,585.84,337.46,2012,7,14,50,93.48,3987677.47855887,100,0.042,8.5,424.6,100.6,92.2,126.2,29.8,93.48,22.15,4107.77,4.11,-77.5691471820127,45.922643473681,0.612372435695794,0.966388310462153,27,2,0,"1",0.721975757085965,1,"97"
"166","RED25_2010_1756",1,624.66,483.91,2010,213,436,48.9,87.7,781712.219920932,100,1.308,14.6,92.4,40.3,92,42.9,22.4,87.7,20.68,5408,5.41,-93.6213859863948,50.8392149816034,0.707106781186548,0.978839263772093,1280,2,14,"4",0.829091803637591,1,"98"
"167","RED39_2012_1901",1,508.93,152.18,2012,192,198,97,96.28,1017917.48660549,100,0.594,9.7,174,49.2,89.3,57.2,19.9,96.28,20.84,5250.75,5.25,-92.9566086609778,50.9255088388825,1,1.06744772527787,1164,2,0,"1",0.36120850130319,1,"99"
"168","RED65_2003_1440",1,538.25,113.17,2003,218,319,68.3,89.1,2075516.00562046,100,0.957,12.6,234.5,45.7,91.5,59.8,26.8,89.1,19.68,5241.57,5.24,-93.5399649630694,51.4580171367302,0.866025403784439,0.944241473418665,1095,3,8,"3",0.505049362245762,1,"100"
"169","RED81_1995_964",1,463.18,199.75,1995,16097,16492,97.6,93.65,72987190.9905044,100,49.476,10.5,234.6,73.5,91.6,81.2,27.4,93.65,20.43,5703.76,5.7,-92.862578553643,50.8262946463232,0.707106781186548,0.829654466239757,1062,3,1,"1",0.35338880073623,1,"101"
"172","SAU7_2003_1436",1,538.59,487.1,2003,73,541,13.5,97.1,1754618.579895,100,1.623,11.3,60.3,30.2,91.1,30.1,17.9,97.1,20.05,3342.45,3.34,-82.7062074275338,46.2489256452012,0.707106781186548,0.904621385065787,18,2,0,"1",0.883699903019005,1,"102"
"173","SLK105_2012_1931",1,571.56,224.08,2012,417,430,97,72.63,832221.81137933,100,1.29,4,207.6,20.1,86.5,31.5,8.1,72.63,20.41,5611.02,5.61,-92.763710630025,50.3255289206205,0.612372435695794,0.856933676943448,1286,2,0,"1",0.0869478806010823,1,"103"
"174","SLK65_1995_307",1,547.12,247.74,1995,67064,69489,96.5,72.48,133634004.569101,100,208.467,10.4,241.1,73.5,92.2,81.2,27.9,72.48,20.23,5681.92,5.68,-92.1938462343731,50.5901954454595,0.707106781186548,0.854208138489237,1544,4,1,"1",0.343361220985422,1,"104"
"175","SLK86_1996_1174",1,474.91,261.2,1996,1621,1773,91.4,80.04,5714242.52585284,100,5.319,9.1,205.3,63.5,92.6,69.9,22.9,80.04,20.67,5491.02,5.49,-91.6680266707949,50.6515751885213,0.612372435695794,0.79547481793456,1077,3,1,"1",0.274168673270027,1,"105"
"176","SUD121_1999_1289",1,681.11,293.58,1999,918,1207,76.1,84.48,2045744.93857298,100,3.621,4.5,514.3,58.4,87,90.3,15.2,84.48,20.68,5580.03,5.58,-81.5907944470809,46.6315116412451,1.2747548783982,1.87308592851755,975,8,10,"4",0.6753851243916,1,"106"
"179","SUD23_1992_715",1,600,370.62,1992,8290,18184,45.6,88.4,48225094.3460121,100,54.552,9.5,149.5,59.2,90.3,60.2,22.8,88.4,20.31,4980.7,4.98,-81.1432857740435,46.932248017857,1,1.39656443059686,970,12,3,"2",0.885253549342088,1,"107"
"183","THU113_2006_1568",1,521.99,340.54,2006,315,365,86.3,96.27,772470.172940317,99.9999999999999,1.095,8.3,399.5,56.7,89.4,82.7,25.7,96.27,20.57,5936.34,5.94,-90.8636027766999,49.1739604499008,0.612372435695794,0.565006513911897,1443,4,14,"4",0.137623408601349,1,"108"
"185","THU132_1995_944",1,548.43,229.52,1995,16379,16645,98.4,79.92,63431573.1899986,100,49.935,9,437.8,62.7,88.4,92,19.8,79.92,20.14,4901.79,4.9,-90.0815082103889,49.8002040981028,0.612372435695794,0.859018950505022,1392,4,2,"1",0.298260622047819,1,"109"
"186","THU133_2006_1688",1,602.04,248.75,2006,2642,4281,61.7,87.39,6460543.10032888,99.9999999999997,12.843,5.1,434.9,57.2,88.4,85.4,18,87.39,15.54,5061.31,5.06,-88.8944699715298,49.9933483224024,0.790569415042095,1.78159840563457,1502,3,10,"4",0.682245060543755,1,"110"
"188","THU13_1999_514",1,504.58,77.11,1999,1455,1461,99.6,57.53,11046230.480458,99.9999999999994,4.383,4.8,220.7,67.1,87.1,68.4,12,57.53,20.1,5229.75,5.23,-89.932926164319,49.3877345284219,0.612372435695794,0.860648770517673,1365,8,4,"2",0.408438619948731,1,"111"
"189","THU142_2006_1634",1,510.1,225.86,2006,59851,65455,91.4,105.26,150282214.017224,100,196.365,5.3,400,50.7,87.2,76.7,13.4,105.26,20.29,5645.05,5.65,-90.0915647537599,49.5414962280169,0.707106781186548,0.883144699076882,1473,2,9,"3",0.213044236246599,1,"112"
"190","THU143_2006_1642",1,507.91,289.49,2006,16709,17677,94.5,111.11,39890582.4792457,100,53.031,6.4,406.5,55.1,87.4,82,16.6,111.11,20.29,5731.11,5.73,-90.246085986722,49.4396792778734,0.5,0.562123052120703,1481,5,10,"4",0.142198982244207,1,"113"
"191","THU144_2006_1638",1,599.47,245.07,2006,17370,22054,78.8,97.61,41075974.8624872,99.9999999999998,66.162,6.9,410.4,56.4,87.9,83.7,18.1,97.61,20.21,5717.94,5.72,-90.2117532860665,49.5614356995571,0.612372435695794,0.816799881193194,1477,2,10,"4",0.31029768614133,1,"114"
"192","THU14_1995_308",1,443.51,284.89,1995,4093,4101,99.8,94.72,16365215.7544521,100,12.303,12.6,133.7,47.3,91.2,49.8,20.9,94.72,20.34,5001.57,5,-90.2489682995809,49.4426673460849,0.5,0.568041780564133,1349,8,1,"1",0.30152658833644,1,"115"
"193","THU151_2006_1650",1,699.44,472.92,2006,206,649,31.7,90.95,995705.704756865,100,1.947,8.1,441.9,59.2,89.5,88.9,24.6,90.95,20.55,5573.85,5.57,-89.2269300152886,49.4005940429861,0.707106781186548,0.884110677607703,1488,5,12,"4",0.65931293851311,1,"116"
"194","THU154_2006_1687",1,613.72,155.29,2006,8324,10099,82.4,65.78,15199113.3749137,99.9999999999999,30.297,5.1,420.3,48.2,86.7,74.3,14.4,65.78,15.1,5641.23,5.64,-88.2887059529752,50.1696889785105,0.790569415042095,1.67780852876587,1501,3,12,"4",0.540083000429362,1,"117"
"195","THU163_2006_1640",1,513.11,357.51,2006,12642,17600,71.8,100.81,46066202.4768666,100,52.8,5.6,433.7,56.4,88.7,84.6,19.1,100.81,20.54,5564.06,5.56,-89.1538410617058,49.4916275739691,0.612372435695794,0.857698247515325,1479,5,12,"4",0.268627312537307,1,"118"
"196","THU167_2006_1653",1,648.74,410.11,2006,1619,2122,76.3,85.16,3239923.79960491,100,6.366,6.5,404.9,54.5,87.2,81.2,16.3,85.16,20.29,5731.11,5.73,-90.1847407386013,49.3803999090106,0.612372435695794,0.913425302395579,1491,5,12,"4",0.379242484585868,1,"119"
"197","THU16_2002_102",1,397.86,241.3,2002,1572,1746,90,109.11,10064394.8176783,100,5.238,6,91.9,24.7,89.1,29.2,11.1,109.11,20.54,5229.21,5.23,-89.3904440485275,49.6074327600027,0.790569415042095,1.13922111199928,1335,8,9,"3",0.190002817578962,1,"120"
"199","THU184_2006_1647",1,615.03,283.82,2006,3992,7145,55.9,65.15,13069394.9662051,99.9999999999999,21.435,5.9,399.5,53.5,87.3,80,16.5,65.15,20.37,5781.16,5.78,-90.3278111851755,49.4186590720478,0.353553390593274,0.429265036533235,1486,5,10,"4",0.321917066082844,1,"121"
"200","THU185_2006_1633",1,490.66,223.21,2006,6430,7192,89.4,116.93,17349342.8118284,100,21.576,6.2,426.9,57,88.4,85.2,18.4,116.93,20.36,5597.86,5.6,-89.4165550469217,49.5867170006529,0.790569415042095,1.15835584254807,1472,5,9,"3",0.28694447121191,1,"122"
"210","THU31_2005_1510",1,511.09,130.2,2005,7714,7850,98.3,88.3,23203490.843857,100,23.55,9.2,263.2,46.5,91.1,61.4,20.4,88.3,17.65,5666.79,5.67,-88.7658039518551,50.2733696144258,0.612372435695794,0.706243875511168,1432,3,14,"4",0.142062114414625,1,"123"
"213","THU38_1996_675",1,486.09,308.27,1996,23544,28269,83.3,89.97,148442917.309778,100,84.807,6.5,217.9,69.8,89.3,74.3,17.5,89.97,20.45,4780.26,4.78,-89.0444752436825,49.4261198617908,0.707106781186548,0.935775525576706,1372,12,1,"1",0.495169728961963,1,"124"
"214","THU39_2007_1661",1,555.92,337.6,2007,3306,3866,85.5,97.61,11515859.3697085,100,11.598,9.7,102.6,53.6,89.3,53.6,21.1,97.61,19.93,5101.68,5.1,-89.260443488596,48.8672981019062,0.790569415042095,1.05355915807172,1497,5,12,"4",0.512818626474892,1,"125"
"215","THU41_1996_553",1,537.94,336.06,1996,6258,6396,97.8,84.65,11531928.8984863,100,19.188,7.8,211.2,68.8,91.7,74.4,19.7,84.65,20.36,5017.41,5.02,-90.0495452761491,49.2539526999576,0.5,0.509265936864682,1366,9,1,"1",0.191789784708061,1,"126"
"216","THU53_1995_1395",1,567.22,246.74,1995,2474,2599,95.2,67.58,7107652.93706148,99.9999999999999,7.797,4.1,226.3,60.7,85.7,69.5,13.8,67.58,19.45,4764.22,4.76,-88.3841921543017,50.5151751378754,0.790569415042095,1.03862020388353,1427,3,2,"1",0.334356660841032,1,"127"
"217","THU53_1996_593",1,570.22,263.75,1996,30062,40797,73.7,74.99,108236306.639255,99.9999999999999,122.391,8.1,214.1,68.7,91.3,74.1,19.8,74.99,20.38,5229.07,5.23,-90.6005389136762,49.2057320293575,0.612372435695794,0.766137570813254,1367,7,3,"2",0.493296774525419,1,"128"
"218","THU57_2005_1526",1,529.64,240.6,2005,45926,48234,95.2,90.08,100564118.083292,99.9999999999999,144.702,6.7,308.8,44.2,88.2,61.6,17,90.08,20.29,5486.55,5.49,-89.8519624122341,49.3889015212383,0.707106781186548,1.0109277768237,1437,5,9,"3",0.216052540041527,1,"129"
"219","THU58_1996_127",1,387.95,180.51,1996,22477,23069,97.4,109.2,116555021.170402,100,69.207,7.5,222.6,62.4,89.7,68.9,19.6,109.2,20.29,5022.78,5.02,-90.2269766875386,49.9183443868929,0.707106781186548,0.921626541343751,1338,3,2,"1",0.313417253841077,1,"130"
"221","THU67_2005_1528",1,529.79,92.41,2005,23027,23210,99.2,59.46,41026385.1965122,98.7654481700157,69.63,5.2,277.9,39.2,87.9,54.9,13,59.46,20.01,5706.76,5.71,-89.6839595192094,50.1867102289586,0.5,0.550567048089382,1439,2,0,"1",0.0722502135034368,1,"131"
"222","THU71_1996_461",1,443.28,316.69,1996,4613,5371,85.9,112.07,16989698.5443857,100,16.113,5.1,214.5,70.2,87.9,77,15.3,112.07,20.36,4892.42,4.89,-90.0858688103319,49.1234824838159,0.707106781186548,0.789424805480062,1360,10,1,"1",0.377079581645972,1,"132"
"223","THU76_1996_311",1,532.19,188.01,1996,4424,4554,97.1,88.13,16034886.3970178,99.9999999999999,13.662,7.9,208.5,65.8,90.5,70.9,20.9,88.13,20.51,5136.28,5.14,-90.2780028097003,49.7007921453197,0.612372435695794,0.637102420843288,1351,4,4,"2",0.235774810959646,1,"133"
"224","THU77_1996_1187",1,581.21,361.99,1996,7258,7787,93.2,80.37,13285788.463205,100,23.361,7.8,214.3,69.8,90.6,76.1,19.8,80.37,20.34,4905.38,4.91,-90.1745038745244,49.0979243892252,0.5,0.520402451052851,1417,9,1,"1",0.249907925488372,1,"134"
"225","THU80_1996_348",1,535.91,456.13,1996,673,1903,35.4,87.73,4200038.7820203,100,5.709,7.4,213.4,74.4,90.3,79.3,18.3,87.73,20,4654.23,4.65,-89.4486673955981,48.911746244461,0.790569415042095,1.01272339681742,1354,11,1,"1",0.884417152731992,1,"135"
"226","THU84_1996_147",1,543.96,294.46,1996,16542,16697,99.1,35.77,48433479.3259521,100,50.091,7.5,212.6,65.9,89.4,71.3,19.5,35.77,20.29,4950.06,4.95,-90.1274434343268,49.5619570707658,0.707106781186548,1.00624165237891,1341,4,2,"1",0.369705965278337,1,"136"
"227","THU90_1996_1274",1,496.33,229.77,1996,32204,34974,92.1,80.51,151393933.869807,100,104.922,7.6,206.6,62.7,89.3,69.1,19.9,80.51,20.34,4898.04,4.9,-89.8212954830161,50.0226183726964,0.790569415042095,1.14352873164588,1420,3,4,"2",0.438919210588591,1,"137"
"228","TIM12_1997_1531",1,644.72,180.91,1997,17587,22965,76.6,70.57,165896536.601737,100,68.895,8.5,169.6,63.7,89.9,66.4,21.4,70.57,20.48,5041.17,5.04,-80.7070489920797,48.269991502537,0.707106781186548,0.998303726733939,925,8,8,"3",0.559733381657708,1,"138"
"229","TIM13_2010_1776",1,650.53,121.61,2010,322,351,91.7,63.51,2528227.52887382,100,1.053,3.6,175.4,44.8,85.9,53.9,10.3,63.51,21.02,5132.18,5.13,-81.3299780777408,47.4790577232721,0.612372435695794,0.701281983534133,981,2,0,"1",0.15009879529837,1,"139"
"230","TIM19_2005_1512",1,321.45,142.16,2005,5075,5374,94.4,150.88,55490077.553456,100,16.122,10.5,339.5,69.1,92.2,89.3,29.5,150.88,20.6,5179.73,5.18,-80.7737744030152,48.2985814813416,0.612372435695794,0.682253195770438,919,2,0,"1",0.190285758927861,1,"140"
"231","TIM24_1997_121",1,608.23,128.83,1997,6066,6789,89.4,75.31,58071876.5080723,99.9999999999999,20.367,6.9,180.4,59.3,90.5,63.3,18.2,75.31,20.85,5120.57,5.12,-82.000870280718,48.258706821121,0.707106781186548,0.918095027280698,855,8,8,"3",0.313624587291378,1,"141"
"232","TIM27_2012_1921",1,672.46,184.2,2012,413,489,84.5,66.41,1813173.87481235,100,1.467,6.8,279.7,40.8,88.5,57.6,17.7,66.41,20.8,5405.04,5.41,-82.1194686932823,48.0920810798226,1.54110350074224,1.94585993040177,950,2,0,"1",0.569790666844937,1,"142"
"234","TIM34_2011_1750",1,59.53,101.65,2011,13,50,26,313.62,525829.089454915,100,0.15,6,262,19.8,89.2,33.1,12.1,313.62,21.08,5158.08,5.16,-81.6134673909416,47.4713205384305,0,0.256010194656091,934,2,0,"1",0.347520747687751,1,"143"
"235","TIM3_2007_1585",1,461.36,398.68,2007,207,381,54.3,122.6,1023308.87093278,100,1.143,19.9,122,39.7,92.2,43.4,32.2,122.6,20.22,5423.55,5.42,-80.8862121618728,48.5875106630202,0.612372435695794,0.617912185717776,927,2,0,"1",0.831773752056331,1,"144"
"237","TIM56_2005_1529",1,700.99,205.77,2005,325,325,100,73.8,1184501.33236025,100,0.975,8.5,361,63.3,90.1,85.8,25.7,73.8,20.8,5203.18,5.2,-81.938093733231,48.3192241524238,0,0.251303748265327,924,2,0,"1",0.0613062227512102,1,"145"
"238","TIM5_1996_563",1,462.25,419.96,1996,1438,1878,76.6,123.38,5590880.09679637,100,5.634,6.2,195.2,39.7,89.1,51,13.3,123.38,20.7,4722.58,4.72,-81.1653325488212,47.5851986847376,1.11803398874989,1.5977742151219,877,8,7,"3",0.520385683170785,1,"146"
"239","TIM5_2005_1517",1,551.49,334.56,2005,1838,2471,74.4,100.57,7917067.95781001,100,7.413,11.7,127,42.9,93.6,45.8,23.1,100.57,20.68,5203.16,5.2,-81.7985302326937,47.7860018811315,1.5,1.83733192862455,922,2,0,"1",0.745319228668922,1,"147"
"240","TIM7_2005_1515",1,659.68,219.62,2005,1571,1788,87.9,75.53,7295699.4038077,100,5.364,12.9,120.9,43.4,93.9,46.1,23.6,75.53,20.81,5165.87,5.17,-82.1986361343725,48.2115872082848,0.707106781186548,0.842694472624006,921,2,0,"1",0.343111950350501,1,"148"
"241","TIM7_2010_1774",1,349.23,238.18,2010,251,255,98.4,142.44,2185618.33531654,100,0.765,12.6,150.2,55.7,91.3,58.1,25,142.44,20.89,5337.09,5.34,-81.6288038045646,48.4585381009327,0.353553390593274,0.279327470969729,939,2,0,"1",0.225334377036441,1,"149"
"242","TIM7_2012_1898",1,520.44,263.41,2012,1183,2356,50.2,102,7519382.88177563,100,7.068,14.3,116.2,45.5,92.2,47.5,25.3,102,20.94,5316.81,5.32,-81.5755209781538,47.4634921793094,0.612372435695794,0.57621368480095,945,2,0,"1",0.698234584916673,1,"150"
"244","TIM9_2012_1852",1,582.16,214.85,2012,102829,132445,77.6,88.06,705048943.215652,99.9999999999995,397.335,9,284.5,41.8,90,57.4,20.9,88.06,20.78,5363.71,5.36,-81.7119796279845,48.0539169661234,0.790569415042095,1.11949622887453,943,2,0,"1",0.394718826870548,1,"151"
"247","WAW17_2012_1934",1,487.56,327.61,2012,380,416,91.3,103.96,1328856.46390776,100,1.248,8.2,79.5,22.5,89.5,26.5,15,103.96,19.5,5431.58,5.43,-84.9277324550765,48.3957756044065,0.612372435695794,0.844310293473578,952,2,0,"1",0.143308344765844,1,"152"
"248","WAW18_2010_1775",1,634.16,174.9,2010,3933,6320,62.2,77.38,36374376.6174346,100,18.96,6.4,197.4,73,90.3,73.4,18.9,77.38,19.94,5475.07,5.48,-84.1556179802819,47.9108103546044,0,0,1592,2,0,"1",0.332053958482199,1,"153"
"249","WAW21_2003_1406",1,526.9,255.54,2003,18276,19545,93.5,88.69,100505557.239367,99.9999999999999,58.635,8.9,291,82.4,91.6,91.6,27.1,88.69,20.41,4944.2,4.94,-84.5213531396642,48.9215629991184,0.612372435695794,0.684800722380924,911,5,7,"3",0.329058343323965,1,"154"
"251","WAW31_1995_650",1,570.14,260.71,1995,4159,4387,94.8,71.8,15081689.8948423,100,13.161,5.9,309,53.8,86.8,66.6,15.9,71.8,20.03,5037.54,5.04,-85.9060870965179,48.8555832139784,1.11803398874989,1.56037054297694,881,11,1,"1",0.542974590733287,1,"155"
"253","WAW5_2012_1904",1,653.79,421.69,2012,134,416,32.2,91.59,1014324.75272463,100,1.248,13.5,66.6,32.2,91,31.9,21.9,91.59,19.67,5134.02,5.13,-85.3253737059015,48.6115269231493,1,1.05430046149735,946,2,0,"1",0.883331334223151,1,"156"
"254","WAW69_1995_946",1,415.61,237.65,1995,778,818,95.1,120.89,2999425.93312104,100,2.454,13.3,455.4,69.5,90.6,99.6,33.1,120.89,20.3,4976.74,4.98,-85.73388039096,49.3761206871324,0.707106781186548,0.810044787730091,893,10,1,"1",0.342141763652701,1,"157"
"255","WAW86_1995_724",1,437.75,268.14,1995,42791,59962,71.4,132.84,124054988.231777,100,179.886,11.5,477.1,74.9,89,107.6,36.1,132.84,20.08,4792.16,4.79,-84.6800426209923,48.3885964418023,1.4142135623731,1.87542815392719,882,8,1,"1",0.802913701246105,1,"158"
"256","WAW87_1995_1025",1,372.06,232.93,1995,13678,14979,91.3,151.64,31220492.7787323,100,44.937,12.2,475.1,80.6,89.2,113,39.8,151.64,20.35,4706.47,4.71,-84.6391846083732,48.5739726869404,1.45773797371133,1.8990966856932,896,8,1,"1",0.688989805266737,1,"159"
"258","COC14_2009_1703",0,530.39,328.14,2009,3942,3942,100,86.67,0,0,11.826,6.9,195.7,40.8,89.1,52,13,86.67,19.31,5304.84,5.3,-79.5315680523448,50.5309931036252,0,0.256903577366425,1587,2,0,"0",0.0600453079915816,1,"43"
"268","COC30_1997_1034",0,502.66,270.78,1997,632,632,100,86.08,0,0,1.896,17,124.9,58.7,92.4,59.1,31.5,86.08,19.58,5053.08,5.05,-80.0281279983366,50.0701641252951,0.707106781186548,0.766379027916819,897,2,0,"0",0.54309598667041,1,"155"
"273","GER17_1992_1355",0,503.03,207.31,1992,79193,79961,99,84.98,0,0,239.883,7.4,197.8,48.8,88.9,59.5,17.2,84.98,19.22,4908.42,4.91,-87.7071175830244,52.0003933421545,0.5,0.410883987041785,523,2,0,"0",0.0963441534811506,1,"10"
"277","GER21_1992_720",0,518,338.63,1992,10461,10461,100,90.76,0,0,31.383,8.2,183.2,45.3,90.6,55.3,18.6,90.76,19.67,4850.49,4.85,-86.4616063549598,52.2565086179579,0.612372435695794,0.679357391305351,1559,2,0,"0",0.112869341752722,1,"16"
"284","GER36_1992_868",0,610.58,444.83,1992,5734,5734,100,69.43,0,0,17.202,6.4,203.7,48.4,89.2,59.7,14.7,69.43,20.08,4801.18,4.8,-86.6899609660515,51.3364550974606,0.707106781186548,0.75627595684326,366,2,0,"0",0.13581372901568,1,"6"
"287","GER39_1992_989",0,576.17,311.22,1992,12803,12804,100,75.46,0,0,38.412,6.9,199.4,48.5,89.6,59.6,16,75.46,19.76,4892.34,4.89,-87.096163959675,51.7795774062934,0,0.238393931195404,404,2,0,"0",0.0558170596059839,1,"40"
"290","GER45_1991_396",0,643.83,450.42,1991,17014,17023,99.9,68.19,0,0,51.069,7,487.8,60.8,89.5,87.7,22.3,68.19,20.21,4608.28,4.61,-86.9079394098128,51.3092847901321,0.790569415042095,0.860190794385179,226,2,0,"0",0.172588108314843,1,"19"
"295","GER60_1990_792",0,363.95,321.87,1990,482,482,100,104.21,0,0,1.446,5.3,332.8,69.8,87.7,85.2,18.5,104.21,18.79,3885.8,3.89,-86.3352249590518,53.7805168634874,0.612372435695794,0.662268710439029,343,2,0,"0",0.190189255481438,1,"120"
"304","MOO15_1991_836",0,592.54,279.38,1991,9697,9697,100,76.2,0,0,29.091,7.3,406.1,80.3,90.3,84.2,21.7,76.2,19.98,4746.97,4.75,-80.7447655343723,50.7258759627642,0.612372435695794,0.645136772435019,888,2,0,"0",0.444293062386331,1,"38"
"324","NIP22_2001_46",0,615.73,351.15,2001,1102,1104,99.8,69.18,0,0,3.312,8.4,208.4,53.8,90.7,60.3,21.4,69.18,20.17,4879.76,4.88,-86.8811078817899,51.2079083599375,0.866025403784439,0.974502310721767,90,2,0,"0",0.244891606688536,1,"89"
"332","NIP27_2010_1734",0,584.22,302.14,2010,856,856,100,87.57,0,0,2.568,11.6,203,49.3,91.4,62.8,23.1,87.57,19.93,4521.31,4.52,-86.1871904075073,52.3848311308461,0.790569415042095,1.25688498375255,1590,2,0,"0",0.359334622851537,1,"99"
"335","NIP32_2012_1929",0,429.24,160.88,2012,347,350,99.1,105.58,0,0,1.05,8.5,224.8,44.6,90.3,58.1,19.3,105.58,20.34,4761.35,4.76,-87.6845758149062,50.9604202112448,0.790569415042095,1.09018323674439,711,2,0,"0",0.210128585459964,1,"112"
"342","NIP40_1999_860",0,458.39,155.35,1999,312,312,100,87.61,0,0,0.936,10.8,253.5,66.3,88.3,74.7,26.3,87.61,18.84,4434.28,4.43,-87.6385416528359,53.8544676702893,0.612372435695794,0.584973874531848,363,2,0,"0",0.342740380236818,1,"157"
"347","NIP43_1996_910",0,531.22,106.66,1996,9598,9693,99,54.2,0,0,29.079,7,173.6,51.7,88,57,14.5,54.2,19.9,4912.4,4.91,-88.0537560421566,51.5860769602159,0.5,0.41601240291768,377,2,0,"0",0.163364212205643,1,"45"
"357","NIP50_1996_355",0,588.31,325,1996,15753,15766,99.9,73.25,0,0,47.298,7.2,186.2,54.9,88.6,59.6,16.3,73.25,20.36,4495.99,4.5,-86.9899756517405,51.3758661013201,0.612372435695794,0.609961353773779,210,2,0,"0",0.210513736474801,1,"76"
"373","NIP59_2003_1555",0,575.59,347.05,2003,2328,2355,98.9,85.58,0,0,7.065,9.4,347.3,59.9,89.2,75.4,21.8,85.58,20.31,4968.07,4.97,-86.4776749740041,51.4028225986067,0.707106781186548,0.796871981367112,572,2,0,"0",0.324988420512353,1,"132"
"388","NIP73_2001_41",0,531.38,72.28,2001,4505,4508,99.9,74.25,0,0,13.524,6.2,313.4,43.9,87.3,63.4,17.3,74.25,18.48,4746.58,4.75,-87.921251810415,53.3907189822536,0.5,0.502500538835468,86,2,0,"0",0.072296689422912,1,"131"
"393","NIP79_2002_189",0,515.5,511.04,2002,1132,1132,100,94.97,0,0,3.396,5.4,248.5,37.8,84.4,49.5,11.7,94.97,19.41,4690.51,4.69,-86.2055876606794,53.1993939063116,0.707106781186548,0.818173386909551,161,2,0,"0",0.212281571881481,1,"53"
"405","PET1_2001_50",0,655.68,613.13,2001,0,10,0,94.67,0,0,0.03,8.3,606.5,105.8,92.7,146.6,30.8,94.67,21.88,5077.53,5.08,-76.8804708178842,44.8148937168391,0,1.16660427248266,4,2,0,"0",0.956346107519714,1,"71"
"406","RED100_2011_1783",0,571.86,126.32,2011,49403,52084,94.9,77.45,0,0,156.252,5.7,386.9,88,87.7,106.9,14.2,77.45,20.19,4655,4.65,-93.8326161868409,53.3780983368149,0.612372435695794,0.793432288949752,637,2,0,"0",0.48307123655323,1,"94"
"407","RED101_2011_1802",0,612.02,181.69,2011,1670,1682,99.3,52.76,0,0,5.046,7,374.2,69.6,88.2,91.7,17,52.76,20.54,4554.81,4.55,-93.9665892929223,52.8825324149248,0.353553390593274,0.918980209505868,650,2,0,"0",0.325809810865235,1,"84"
"415","RED113_2006_1629",0,0,0,2006,45616,67625,67.5,89.77,0,0,202.875,6.7,329.6,33.3,89,51.9,15.9,89.77,19.88,4988.65,4.99,-93.5094301928319,52.5358061815721,0.790569415042095,1.11195612226334,1582,2,0,"0",0.379592323014335,1,"14"
"417","RED114_2011_1778",0,559.93,226.31,2011,1602,2880,55.6,22.78,0,0,8.64,8.8,342.8,74.7,90.3,88,24.8,22.78,21.05,4928.6,4.93,-94.6217449154208,51.6482803323379,1.2747548783982,1.47917147933182,1139,2,0,"0",0.873478009950142,1,"107"
"418","RED118_2011_1780",0,542.1,43,2011,51278,68548,74.8,79.1,0,0,205.644,5.3,388.5,85,87.9,104.2,13.2,79.1,20.11,4588.4,4.59,-93.6382876741245,53.5359264385289,0.790569415042095,1.1704133888916,634,2,0,"0",0.740076996247803,1,"147"
