,Fire_ID,Average Recovery
798,RED332_1988_1126,92.97
799,SLK32_2015_1980,73.99
800,RED20_1996_431,78.24
801,THU52_1996_1307,55.67
802,NIP58_2007_1563,453.3
803,NIP12_2009_1718,96.23
804,SLK71_2003_1538,97.29
805,RED93_1995_667,97.87
806,SLK95_1996_646,68.92
807,SLK30_2006_1581,83.13
808,NIP19_2009_1711,86.58
809,SLK18_2000_24,44.83
810,APK20_2016_2015,86.69
811,SIO150_1989_1106,83.69
812,SLK2_2002_51,174.57
813,NIP25_2000_26,69.83
814,THU31_2017_2093,90.21
815,SIO68_1989_1262,76.96
816,SIO20_1992_878,91.25
817,RED1_2002_15,68.9
818,RED34_2002_190,61.53
819,RED352_1988_642,78.6
820,RED30_1996_824,96.34
821,RED29_2014_2017,89.4
822,RED31_1993_549,66.91
823,NIP64_1995_262,75.34
824,GER38_1990_810,73.13
825,NIP92_2003_1402,101.74
826,SIO12_1989_858,90.76
827,NIP40_2001_4,80.08
828,SLK19_2015_1967,79.38
829,RED19_1999_219,186.67
830,RED82_1995_139,86.7
831,SLK39_1994_1269,66.48
832,SLK103_2017_2095,65.97
833,SLK28_2015_1992,93.1
834,SLK91_1996_1162,79.36
835,RED54_2003_1419,89.7
836,SLK2_2017_1944,151.15
837,THU57_2011_1746,139.07
838,SLK82_1999_992,73.25
839,GER7_1989_978,88.72
840,RED57_2018_2130,58.01
841,SLK129_2017_1951,52.43
842,NIP79_2002_189,94.97
843,GER128_1989_1320,90.48
844,RED53_2012_1842,61.98
845,NIP55_2011_1811,74.46
846,RED111_1989_1312,89.93
847,SLK1_2015_1978,122.63
848,RED78_2018_2138,48.62
849,RED72_2012_1906,79.05
850,NIP30_2020_2202,86.81
851,SLK43_2013_1896,81.08
852,GER36_1989_1040,70.87
853,RED122_2011_1794,62.1
854,SLK38_2006_1674,91.21
855,RED1_1989_955,125.74
856,SLK237_2017_1939,195.05
857,SLK17_2009_1705,90.68
858,NIP25_2013_1887,94.71
859,GER20_1987_131,88.34
860,SIO80_1989_1014,71.18
861,NIP44_1995_1225,84.11
