Fire_ID,mean_temperature,sum_precipitation_mm,sum_precipitation_m
RED40_1989_928,19.34,4331.9,4.33
RED40_2002_91,19.64,4635.2,4.64
RED41_1989_491,19.48,4330.58,4.33
RED41_1994_116,20.63,5468.29,5.47
RED41_2002_169,19.7,5217.93,5.22
RED41_2012_1758,19.83,5010.41,5.01
RED42_1989_927,19.6,4579.09,4.58
RED43_1989_1393,19.97,4505.33,4.51
RED44_2006_1683,20.77,5546.05,5.55
RED44_2010_1753,20.57,5123.49,5.12
RED46_1987_416,19.98,4407.45,4.41
RED46_1989_672,19.89,4514.77,4.51
RED46_1990_364,19.67,4611.09,4.61
RED47_2002_92,20.0,5415.19,5.42
RED47_2006_1600,19.5,4582.01,4.58
RED48_2001_72,19.65,5161.23,5.16
RED49_1987_1006,19.95,4399.48,4.4
RED49_2012_1844,20.52,4723.76,4.72
RED50_2011_1813,20.64,5053.15,5.05
RED50_2012_1926,20.3,4744.03,4.74
RED51_1989_1088,20.25,4755.42,4.76
RED51_2011_1670,20.64,5053.15,5.05
RED51_2012_1908,20.38,4812.66,4.81
RED52_1989_499,19.91,4683.3,4.68
RED52_2011_1814,20.61,5070.25,5.07
RED52_2012_1902,20.1,4673.11,4.67
RED53_1989_1195,19.85,4512.46,4.51
RED53_2011_1792,20.92,5036.19,5.04
RED53_2012_1842,20.16,4639.54,4.64
RED54_1989_509,20.0,4896.43,4.9
RED54_2003_1419,19.15,4525.75,4.53
RED54_2011_1784,19.89,4633.5,4.63
RED55_1989_759,20.04,4652.47,4.65
RED55_2002_95,20.71,5390.3,5.39
RED55_2011_1787,20.49,4854.6,4.85
RED56_1989_879,20.01,4660.46,4.66
RED56_2002_167,19.89,4993.01,4.99
RED57_2002_163,19.9,4871.12,4.87
RED57_2012_1845,20.08,4791.86,4.79
RED58_1998_830,19.58,5277.77,5.28
RED58_2011_1799,20.34,4637.91,4.64
RED58_2012_1922,20.16,4696.21,4.7
RED59_2002_192,19.73,5307.15,5.31
RED59_2012_1909,20.2,4643.43,4.64
RED5_1986_368,19.72,4177.39,4.18
RED5_1990_876,19.73,4551.49,4.55
RED5_2002_185,19.7,4637.62,4.64
RED60_2001_42,19.46,4792.41,4.79
